127.0.0.1 - - [04/Nov/2020:23:20:38 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:26:06 +0900] "GET /danaa/main.do HTTP/1.1" 200 20716
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:26:06 +0900] "POST /danaa/mainMedical.do HTTP/1.1" 200 2783
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:26:06 +0900] "POST /danaa/ntop5.do HTTP/1.1" 200 870
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:26:06 +0900] "POST /danaa/footer.do HTTP/1.1" 200 466
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:26:06 +0900] "GET /danaa/resources/images/main1_9.jpg HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:26:08 +0900] "GET /danaa/dist/images/progress_spinner_grey.gif HTTP/1.1" 404 862
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:26:08 +0900] "GET /danaa/loginpage.do HTTP/1.1" 200 17214
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:26:08 +0900] "POST /danaa/footer.do HTTP/1.1" 200 466
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:26:15 +0900] "POST /danaa/login.do HTTP/1.1" 200 514
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:26:16 +0900] "GET /danaa/loginpage.do HTTP/1.1" 200 17214
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:26:16 +0900] "POST /danaa/footer.do HTTP/1.1" 200 466
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:26:34 +0900] "POST /danaa/login.do HTTP/1.1" 200 539
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:26:35 +0900] "GET /danaa/loginpage.do HTTP/1.1" 200 17214
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:26:35 +0900] "POST /danaa/footer.do HTTP/1.1" 200 466
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:26:42 +0900] "POST /danaa/login.do HTTP/1.1" 200 539
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:26:42 +0900] "GET /danaa/loginpage.do HTTP/1.1" 200 17214
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:26:43 +0900] "POST /danaa/footer.do HTTP/1.1" 200 466
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:28:48 +0900] "POST /danaa/login.do HTTP/1.1" 200 514
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:28:49 +0900] "GET /danaa/loginpage.do HTTP/1.1" 200 17214
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:28:50 +0900] "POST /danaa/footer.do HTTP/1.1" 200 466
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:29:04 +0900] "POST /danaa/login.do HTTP/1.1" 200 514
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:29:04 +0900] "GET /danaa/loginpage.do HTTP/1.1" 200 17214
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:29:05 +0900] "POST /danaa/footer.do HTTP/1.1" 200 466
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:29:58 +0900] "POST /danaa/login.do HTTP/1.1" 200 539
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:29:59 +0900] "GET /danaa/loginpage.do HTTP/1.1" 200 17214
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:30:00 +0900] "POST /danaa/footer.do HTTP/1.1" 200 466
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:30:13 +0900] "GET /danaa/cryptall.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:30:13 +0900] "GET /danaa/main.do HTTP/1.1" 200 20716
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:30:14 +0900] "POST /danaa/footer.do HTTP/1.1" 200 466
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:30:14 +0900] "POST /danaa/ntop5.do HTTP/1.1" 200 870
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:30:14 +0900] "POST /danaa/mainMedical.do HTTP/1.1" 200 2783
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:30:14 +0900] "GET /danaa/resources/images/main1_9.jpg HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:30:15 +0900] "GET /danaa/dist/images/progress_spinner_grey.gif HTTP/1.1" 404 862
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:30:32 +0900] "GET /danaa/loginpage.do HTTP/1.1" 200 17214
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:30:33 +0900] "POST /danaa/footer.do HTTP/1.1" 200 466
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:30:38 +0900] "POST /danaa/login.do HTTP/1.1" 200 496
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:30:39 +0900] "GET /danaa/main.do HTTP/1.1" 200 20715
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:30:39 +0900] "POST /danaa/mainMedical.do HTTP/1.1" 200 2783
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:30:39 +0900] "POST /danaa/ntop5.do HTTP/1.1" 200 870
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:30:39 +0900] "POST /danaa/footer.do HTTP/1.1" 200 466
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:30:40 +0900] "GET /danaa/resources/images/main1_9.jpg HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:30:41 +0900] "GET /danaa/dist/images/progress_spinner_grey.gif HTTP/1.1" 404 862
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:30:42 +0900] "GET /danaa/logout.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:30:42 +0900] "GET /danaa/main.do HTTP/1.1" 200 20716
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:30:42 +0900] "POST /danaa/mainMedical.do HTTP/1.1" 200 2783
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:30:42 +0900] "POST /danaa/ntop5.do HTTP/1.1" 200 870
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:30:42 +0900] "POST /danaa/footer.do HTTP/1.1" 200 466
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:30:43 +0900] "GET /danaa/resources/images/main1_9.jpg HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:30:44 +0900] "GET /danaa/dist/images/progress_spinner_grey.gif HTTP/1.1" 404 862
